,class_name,precision,recall,f1-score
0,acerola,0.9288793103448276,0.9642058165548099,0.9462129527991218
1,ackee,0.9288793103448276,0.9642058165548099,0.9462129527991218
2,aloe vera,0.9288793103448276,0.9642058165548099,0.9462129527991218
3,ambarella,0.9288793103448276,0.9642058165548099,0.9462129527991218
4,apple,0.9288793103448276,0.9642058165548099,0.9462129527991218
5,artichokes,0.9288793103448276,0.9642058165548099,0.9462129527991218
6,asparagus,0.9288793103448276,0.9642058165548099,0.9462129527991218
7,aubergine,0.9288793103448276,0.9642058165548099,0.9462129527991218
8,avocado,0.9288793103448276,0.9642058165548099,0.9462129527991218
9,banana,0.9288793103448276,0.9642058165548099,0.9462129527991218
10,beetroot,0.9288793103448276,0.9642058165548099,0.9462129527991218
11,bell peper,0.9288793103448276,0.9642058165548099,0.9462129527991218
12,betel nut,0.9288793103448276,0.9642058165548099,0.9462129527991218
13,bitter melon,0.9288793103448276,0.9642058165548099,0.9462129527991218
14,bread fruit,0.9288793103448276,0.9642058165548099,0.9462129527991218
15,broccoli,0.9288793103448276,0.9642058165548099,0.9462129527991218
16,brussels sprout,0.9288793103448276,0.9642058165548099,0.9462129527991218
17,buddha's hand,0.9288793103448276,0.9642058165548099,0.9462129527991218
18,cabbage,0.9288793103448276,0.9642058165548099,0.9462129527991218
19,cacao,0.9288793103448276,0.9642058165548099,0.9462129527991218
20,cantaloupe,0.9288793103448276,0.9642058165548099,0.9462129527991218
21,carrot,0.9288793103448276,0.9642058165548099,0.9462129527991218
22,cassava,0.9288793103448276,0.9642058165548099,0.9462129527991218
23,chayote,0.9288793103448276,0.9642058165548099,0.9462129527991218
24,cherry,0.9288793103448276,0.9642058165548099,0.9462129527991218
25,chestnut,0.9288793103448276,0.9642058165548099,0.9462129527991218
26,chili,0.9288793103448276,0.9642058165548099,0.9462129527991218
27,coconut,0.9288793103448276,0.9642058165548099,0.9462129527991218
28,coffee,0.9288793103448276,0.9642058165548099,0.9462129527991218
29,corn,0.9288793103448276,0.9642058165548099,0.9462129527991218
30,courgette,0.9288793103448276,0.9642058165548099,0.9462129527991218
31,cucumber,0.9288793103448276,0.9642058165548099,0.9462129527991218
32,curly kale,0.9288793103448276,0.9642058165548099,0.9462129527991218
33,custard apple,0.9288793103448276,0.9642058165548099,0.9462129527991218
34,dragon fruit,0.9288793103448276,0.9642058165548099,0.9462129527991218
35,durian,0.9288793103448276,0.9642058165548099,0.9462129527991218
36,figs,0.9288793103448276,0.9642058165548099,0.9462129527991218
37,gac,0.9288793103448276,0.9642058165548099,0.9462129527991218
38,garlic,0.9288793103448276,0.9642058165548099,0.9462129527991218
39,ginger,0.9288793103448276,0.9642058165548099,0.9462129527991218
40,gourd,0.9288793103448276,0.9642058165548099,0.9462129527991218
41,grape,0.9288793103448276,0.9642058165548099,0.9462129527991218
42,guava,0.9288793103448276,0.9642058165548099,0.9462129527991218
43,jack fruit,0.9288793103448276,0.9642058165548099,0.9462129527991218
44,java plum,0.9288793103448276,0.9642058165548099,0.9462129527991218
45,kiwi,0.9288793103448276,0.9642058165548099,0.9462129527991218
46,kohlrabi,0.9288793103448276,0.9642058165548099,0.9462129527991218
47,kumquat,0.9288793103448276,0.9642058165548099,0.9462129527991218
48,langsat,0.9288793103448276,0.9642058165548099,0.9462129527991218
49,lemon,0.9288793103448276,0.9642058165548099,0.9462129527991218
50,lemon grass,0.9288793103448276,0.9642058165548099,0.9462129527991218
51,longan,0.9288793103448276,0.9642058165548099,0.9462129527991218
52,loofah,0.9288793103448276,0.9642058165548099,0.9462129527991218
53,loquat,0.9288793103448276,0.9642058165548099,0.9462129527991218
54,lychee,0.9288793103448276,0.9642058165548099,0.9462129527991218
55,macadamia,0.9288793103448276,0.9642058165548099,0.9462129527991218
56,mango,0.9288793103448276,0.9642058165548099,0.9462129527991218
57,mangosteen,0.9288793103448276,0.9642058165548099,0.9462129527991218
58,mint,0.9288793103448276,0.9642058165548099,0.9462129527991218
59,miracle fruit,0.9288793103448276,0.9642058165548099,0.9462129527991218
60,morning glory,0.9288793103448276,0.9642058165548099,0.9462129527991218
61,mulberry,0.9288793103448276,0.9642058165548099,0.9462129527991218
62,mushroom,0.9288793103448276,0.9642058165548099,0.9462129527991218
63,noni fruit,0.9288793103448276,0.9642058165548099,0.9462129527991218
64,okra,0.9288793103448276,0.9642058165548099,0.9462129527991218
65,onion,0.9288793103448276,0.9642058165548099,0.9462129527991218
66,orange,0.9288793103448276,0.9642058165548099,0.9462129527991218
67,papaya,0.9288793103448276,0.9642058165548099,0.9462129527991218
68,passion fruit,0.9288793103448276,0.9642058165548099,0.9462129527991218
69,peaches,0.9288793103448276,0.9642058165548099,0.9462129527991218
70,peanut,0.9288793103448276,0.9642058165548099,0.9462129527991218
71,pear,0.9288793103448276,0.9642058165548099,0.9462129527991218
72,peas,0.9288793103448276,0.9642058165548099,0.9462129527991218
73,pennywort,0.9288793103448276,0.9642058165548099,0.9462129527991218
74,persimmon,0.9288793103448276,0.9642058165548099,0.9462129527991218
75,pineapple,0.9288793103448276,0.9642058165548099,0.9462129527991218
76,plum,0.9288793103448276,0.9642058165548099,0.9462129527991218
77,pomegranate,0.9288793103448276,0.9642058165548099,0.9462129527991218
78,pomelo,0.9288793103448276,0.9642058165548099,0.9462129527991218
79,pond apple,0.9288793103448276,0.9642058165548099,0.9462129527991218
80,potato,0.9288793103448276,0.9642058165548099,0.9462129527991218
81,pumpkin,0.9288793103448276,0.9642058165548099,0.9462129527991218
82,radicchio,0.9288793103448276,0.9642058165548099,0.9462129527991218
83,radish,0.9288793103448276,0.9642058165548099,0.9462129527991218
84,rambutan,0.9288793103448276,0.9642058165548099,0.9462129527991218
85,raspberry,0.9288793103448276,0.9642058165548099,0.9462129527991218
86,sapodilla,0.9288793103448276,0.9642058165548099,0.9462129527991218
87,scallion,0.9288793103448276,0.9642058165548099,0.9462129527991218
88,shallot,0.9288793103448276,0.9642058165548099,0.9462129527991218
89,soursop,0.9288793103448276,0.9642058165548099,0.9462129527991218
90,star apple,0.9288793103448276,0.9642058165548099,0.9462129527991218
91,star fruit,0.9288793103448276,0.9642058165548099,0.9462129527991218
92,strawberry,0.9288793103448276,0.9642058165548099,0.9462129527991218
93,string bean,0.9288793103448276,0.9642058165548099,0.9462129527991218
94,sweet potato,0.9288793103448276,0.9642058165548099,0.9462129527991218
95,tamarind,0.9288793103448276,0.9642058165548099,0.9462129527991218
96,tomato,0.9288793103448276,0.9642058165548099,0.9462129527991218
97,turmeric,0.9288793103448276,0.9642058165548099,0.9462129527991218
98,turnip,0.9288793103448276,0.9642058165548099,0.9462129527991218
99,walnut,0.9288793103448276,0.9642058165548099,0.9462129527991218
100,water caltrop,0.9288793103448276,0.9642058165548099,0.9462129527991218
101,watermelon,0.9288793103448276,0.9642058165548099,0.9462129527991218
102,wax gourd,0.9288793103448276,0.9642058165548099,0.9462129527991218
103,yam,0.9288793103448276,0.9642058165548099,0.9462129527991218
